# ASR 同音字修正词典
# 格式: 错误写法 <TAB> 正确写法 <TAB> 备注(可选)
# 以 # 开头的行忽略。匹配按「长模式优先」，无需关心书写顺序。
# 新增词条直接追加，fix-asr.py 会自动作业。

# —— 常见误听（通用） ——
暂环处理	暂缓处理	同音
暂环	暂缓	同音
换起	唤起	同音
换出来	唤出来	同音
换醒	唤醒	同音
常住在	常驻在	同音
强烈案例	强烈安利	同音
节子时间	截止时间	同音
赞成一个	暂存一个	同音
轨过去	勾过去	同音
锁碎	琐碎	同音
经历被分散	精力被分散	同音
做理这个事情	处理这个事情	同音
自己手中去输入	自己手动去输入	同音
两方便	挺方便	同音
放聊天记录	翻聊天记录	同音（「翻」误听成「放」）
同化解键	快捷键	连读吞音

# —— 代词/虚词（只收窄到具体短语，不要做全局的 他→它 替换，会误伤真人称谓） ——
希望他做的更好	希望它做得更好	指代工具，非人
希望他优化一下	希望它优化一下	指代工具，非人

# —— 字母/专名 ——
hdps	https	字母误听
htp	https	字母误听
Deep Seek	DeepSeek	专名
deep seek	DeepSeek	专名
Java Script	JavaScript	专名
type script	TypeScript	专名
git hub	GitHub	专名
